,EQ,GOV,IG,HY,COMMO,CASH
31/03/1999,1286.37,250.293,1010.344,361.936,225.71,100.7674
30/04/1999,1335.18,250.94,1013.847,368.558,223.37,100.9989
31/05/1999,1301.84,248.427,999.179,365.177,224.49,101.2208
30/06/1999,1372.71,247.787,994.251,364.272,222.64,101.4366
31/07/1999,1328.72,247.535,988.439,364.762,224.38,101.6477
31/08/1999,1320.41,247.444,985.897,360.908,226.41,101.8685
30/09/1999,1282.71,249.419,997.078,359.461,233.6,102.0767
31/10/1999,1362.93,249.66,1000.177,357.511,231.71,102.279
30/11/1999,1388.91,249.1,1001.561,362.172,229.94,102.5442
31/12/1999,1469.25,247.506,997.971,364.359,227.25,102.8111
31/01/2000,1394.46,248.087,994.625,362.963,225.03,103.0893
29/02/2000,1366.42,252.028,1002.327,363.739,220.68,103.3609
31/03/2000,1498.58,257.34,1013.444,358.4,228.01,103.672
30/04/2000,1452.43,256.37,1000.92,358.405,227.37,103.9645
31/05/2000,1420.6,256.726,995.336,353.901,234.16,104.3383
30/06/2000,1454.6,261.243,1020.148,360.73,224.93,104.7118
31/07/2000,1430.83,263.925,1032.214,362.671,217.97,105.1027
31/08/2000,1517.68,267.944,1045.581,366.231,219.79,105.5026
30/09/2000,1436.51,267.983,1053.796,363.064,223.95,105.89
31/10/2000,1429.4,270.636,1053.243,351.502,220.75,106.3399
30/11/2000,1314.95,276.504,1068.238,338.02,225.33,106.7684
31/12/2000,1320.28,281.993,1089.132,345.714,223.99,107.1837
31/01/2001,1366.01,284.05,1117.842,367.599,224.82,107.657
28/02/2001,1239.94,287.652,1128.81,373.183,225.41,108.0732
31/03/2001,1160.33,288.466,1137.563,365.707,224.72,108.5036
30/04/2001,1249.46,284.475,1131.603,360.745,228.13,108.9834
31/05/2001,1255.82,285.35,1143.166,367.077,229.89,109.4231
30/06/2001,1224.42,286.983,1148.331,357.411,233.78,109.8238
31/07/2001,1211.23,294.408,1180.492,363.218,239.1,110.2655
31/08/2001,1133.58,298.656,1193.298,366.076,234,110.694
30/09/2001,1040.94,303.22,1196.591,340.787,218.65,111.0398
31/10/2001,1059.78,312.04,1222.866,351.693,205.62,111.445
30/11/2001,1139.45,303.777,1212.844,364.053,217.2,111.7737
31/12/2001,1148.08,300.471,1205.697,361.192,212.1,112.095
31/01/2002,1130.21,302.598,1211.934,363.188,212.32,112.419
28/02/2002,1106.73,305.597,1221.066,358.402,215.88,112.7058
31/03/2002,1147.39,297.744,1198.302,367.445,219.64,113.0014
30/04/2002,1076.92,305.379,1213.841,373.338,212.94,113.3341
31/05/2002,1067.14,307.256,1229.489,370.483,221.95,113.6574
30/06/2002,989.81,311.62,1229.636,341.812,232.95,113.9527
31/07/2002,911.62,319.096,1230.309,328.538,234.1,114.2985
31/08/2002,916.07,326.733,1262.821,336.744,233.22,114.6125
30/09/2002,815.28,335.782,1287.292,331.5,237.21,114.9394
31/10/2002,885.76,331.662,1270.855,328.714,236.36,115.2665
30/11/2002,936.31,328.322,1288.406,349.266,241.33,115.5733
31/12/2002,879.82,337.158,1328.318,354.349,244.31,115.8946
31/01/2003,855.7,336.091,1332.918,364.987,250.14,116.1733
28/02/2003,841.15,342.369,1360.724,369.897,250.13,116.4241
