,Economic cycle,Revenues,Costs,BS protection,Fed liquidity
30/04/2001,36.33304077,23.27561328,38.53347578,40.55238095,60.95238095
31/05/2001,41.17615323,25.32056678,44.11921084,43.14229911,82.58928571
30/06/2001,42.95657071,31.65379283,44.55717383,45.82142857,54.20168067
31/07/2001,42.97110879,30.98468344,35.11014449,48.99801587,82.93650794
31/08/2001,41.57214793,28.65477386,35.235849,44.98778195,73.30827068
30/09/2001,37.14995635,31.1904129,31.52312137,40.43125,78.92857143
31/10/2001,33.11454003,22.37758538,35.2295991,44.61139456,89.79591837
30/11/2001,35.8153074,37.91253079,28.3787663,44.27678571,66.55844156
31/12/2001,43.54532579,39.95754648,29.30553947,53.80007764,78.88198758
31/01/2002,48.08765221,40.31089884,33.44698377,53.03645833,66.36904762
28/02/2002,52.32182288,41.53815937,36.57882241,52.035,79.71428571
31/03/2002,54.46793161,40.43206423,40.69490389,56.01510989,74.17582418
30/04/2002,56.08421617,38.7654321,46.43637227,52.75661376,69.04761905
31/05/2002,55.91838664,50.87216967,50.42198499,60.94770408,77.80612245
30/06/2002,53.84098715,40.62384933,45.38045766,55.37961823,71.92118227
31/07/2002,49.13842501,41.1987693,43.18107132,50.66339286,66.66666667
31/08/2002,47.5419118,42.68212592,43.57471959,51.17828341,68.66359447
30/09/2002,47.05259094,41.43922423,40.42291066,51.14397321,62.94642857
31/10/2002,48.6152335,38.19827058,41.97707385,51.46130952,65.36796537
30/11/2002,48.50177865,40.30732158,45.09690292,49.47058824,65.33613445
31/12/2002,51.81787873,43.13527431,43.54432799,47.49778912,87.55102041
31/01/2003,49.94113266,47.37974988,45.41259666,48.3723545,74.20634921
28/02/2003,46.33444975,52.2075611,51.11987751,45.81829151,77.41312741
31/03/2003,40.01804957,41.02185918,56.33525985,51.04385965,76.5037594
30/04/2003,43.91775864,51.41768563,52.41616327,49.98084554,80.58608059
31/05/2003,46.67172624,48.8536001,38.28355634,48.74575893,73.57142857
30/06/2003,51.07496859,49.24638663,39.18430604,47.24608014,68.98954704
31/07/2003,55.96894434,60.08605216,43.16281328,57.34325397,76.19047619
31/08/2003,61.22735045,62.00047727,47.05463034,59.99838501,75.91362126
30/09/2003,59.56890827,66.2085976,51.52433376,60.24936869,67.69480519
31/10/2003,62.95469657,69.89057239,52.46178359,57.08902998,65.07936508
30/11/2003,61.98169175,69.50350526,54.54288152,56.55039683,58.85093168
31/12/2003,66.10840035,70.79143267,56.17747693,62.94167511,56.83890578
31/01/2004,66.95023858,61.94099685,55.85502627,53.13533399,41.19318182
29/02/2004,60.20135657,66.84386381,53.6805309,52.2516197,30.14842301
31/03/2004,61.58660829,65.06266749,55.03957635,47.08063492,45.90909091
30/04/2004,60.3973315,73.03675975,55.78517697,55.53983816,44.65240642
31/05/2004,61.55280583,68.23776986,61.52685309,64.57982295,41.6958042
30/06/2004,57.58878038,71.43881974,67.54900699,66.46196466,39.10806175
31/07/2004,56.56644414,61.07182941,63.45347728,61.8813933,42.34006734
31/08/2004,54.65483227,61.90785521,56.20933149,59.6511544,44.46280992
30/09/2004,56.76372772,58.9457672,53.85285655,61.73618197,46.91558442
31/10/2004,54.39921206,60.81912483,53.81362005,55.89271791,38.59649123
30/11/2004,57.24970341,61.50057746,61.93983156,57.2597838,48.27586207
31/12/2004,59.78901482,63.2085712,62.99244873,58.87516815,39.29121726
31/01/2005,58.55331352,62.39813388,58.56575382,58.62017196,45.68181818
28/02/2005,57.56034984,66.05151699,55.80150965,62.43709342,48.43517139
