,Broad business,Recession alerts,Industrial Production,Manufacturing,Services,Small Business sentix,Consumption,Consumers sentiment,Labour HH survey,Labour estabilishment survey,Housing activity,Retail sales,corporate sales & margins,"Income, savings",Interest rates,Rates sentiment,CPI,CPI sentiment,PPI finished goods,BS_housing wealth,BS_housing refinancing,BS_current asset / liabilities,Savings rate ,FED BS / Money supply (billions),FED BS Assets - Reverse Repo,FED Balance Sheet (total factors ABSORBING reserve funds),Currency in circulation (1),Deposits with Federal Reserve Banks excluding Reserve Balances (4),FED BS with Fed Banks
30/04/2001,31.28787879,68.33333333,15.0297619,58.51851852,41.19047619,39.64285714,11.11111111,23.18181818,22.26190476,37.53623188,66.1525974,9.126984127,32.02020202,29.28571429,31.6025641,38.59126984,54.6957672,36.03174603,31.74603175,45.5,64.28571429,50.33333333,7,0.11815689,,,,,
31/05/2001,31.67613636,72.8515625,18.81944444,62.23958333,39.28571429,50.91666667,23.95833333,37.78409091,22.04241071,39.80978261,67.8030303,15.18518519,29.26136364,30,31.21995192,46.01851852,49.84567901,56.8452381,36.66666667,59.78515625,66.60714286,45,7.34375,0.124061629,,,,,
30/06/2001,42.37967914,68.75,17.96875,61.51960784,47.58403361,57.578125,30.88235294,46.65775401,20.58823529,38.5230179,57.59943182,16.31944444,24.68805704,51.45833333,35.20927602,36.37152778,51.38888889,52.94117647,46.875,58.75,69.74789916,48.52941176,11.47058824,0.119663749,,,,,
31/07/2001,47.22222222,55.55555556,15.44117647,68.36419753,45.03968254,49.26470588,25,54.04040404,21.57738095,39.91545894,61.56417112,13.07189542,26.51515152,50,31.43696581,33.49673203,58.36056645,19.57671958,32.67973856,67.8125,65.87301587,52.63888889,17.15277778,0.121908304,,,,,
31/08/2001,50.29904306,53.125,14.46759259,69.95614035,48.59022556,53.54166667,27.63157895,47.1291866,15.97744361,37.47139588,57.89141414,26.2345679,30.70175439,27.59259259,29.78238866,39.35185185,49.02263374,37.3433584,20.67901235,55.69078947,58.0075188,59.73684211,15,0.119925569,,,,,
30/09/2001,41.02272727,60.9375,25.98684211,60.13888889,49.10714286,61.11842105,9.166666667,14.26136364,17.41071429,33.9673913,55.68181818,29.53216374,28.33333333,33.50877193,30.04807692,37.64619883,48.29434698,19.4047619,22.22222222,45.15625,56.25,58.375,9.5,0.119865172,,,,,
31/10/2001,44.20995671,58.03571429,26.04166667,33.86243386,25.51020408,48.1875,41.26984127,22.61904762,14.62585034,32.73809524,38.40909091,4.722222222,30.88023088,28.5,25.8470696,64.79166667,44.67592593,16.66666667,24.16666667,56.51785714,60.27210884,63.45238095,8.452380952,0.122509853,,,,,
30/11/2001,48.29545455,64.77272727,31.34920635,50.25252525,38.71753247,41.78571429,31.43939394,23.96694215,14.56980519,32.9298419,34.46969697,30.42328042,24.44903581,60.79365079,33.78496503,44.84126984,46.11992945,9.74025974,7.407407407,34.77272727,76.62337662,58.97727273,8.465909091,0.120366412,,,,,
31/12/2001,60.91897233,58.83152174,27.46212121,60.02415459,38.12111801,45.68181818,40.2173913,55.92885375,13.66459627,31.61625709,69.00826446,30.05050505,31.55467721,59.84848485,43.10200669,33.01767677,47.64309764,18.2194617,4.545454545,77.37771739,73.29192547,61.4673913,13.47826087,0.120953293,,,,,
31/01/2002,66.00378788,68.22916667,36.73007246,61.80555556,49.25595238,57.66304348,21.52777778,68.46590909,16.33184524,33.65036232,70.00988142,33.81642512,28.59848485,59.27536232,42.78846154,42.33091787,39.09017713,38.19444444,4.830917874,60.36458333,72.70833333,61.45833333,22.86458333,0.121608143,,,,,
28/02/2002,66.59090909,66.875,53.125,69.27777778,51.35714286,53.38541667,28.33333333,65.36363636,21.32142857,31.7826087,82.14962121,48.37962963,36.18181818,40.41666667,41.80769231,52.83564815,39.13966049,38,11.11111111,56.1,68.6,63.3,25.25,0.120350938,,,,,
31/03/2002,74.86888112,65.625,54.625,65.27777778,57.00549451,49.7,49.67948718,78.54020979,24.31318681,34.90802676,58.6875,49.11111111,23.48484848,48.93333333,50.16642012,46.88888889,37.7037037,53.93772894,14.77777778,66.92307692,78.73626374,40.96153846,36.05769231,0.119989805,,,,,
30/04/2002,70.41245791,67.93981481,65.98557692,62.70576132,57.01058201,67.40384615,46.2962963,73.73737374,29.16666667,36.37278583,54.17668269,39.52991453,24.29854097,52.69230769,48.80698006,62.01923077,40.0997151,56.79012346,24.46581197,56.2037037,74.31216931,37.5,39.07407407,0.121301216,,,,,
31/05/2002,75,65.84821429,64.93055556,57.09325397,65.81632653,66.38888889,31.25,78.44967532,31.34566327,40.89673913,45.37037037,69.5473251,37.39177489,46.54320988,47.06387363,66.97530864,45.09602195,61.9047619,31.06995885,70.46875,71.58163265,68.03571429,39.24107143,0.126969024,,,,,
30/06/2002,62.69592476,63.25431034,74.59077381,50.52681992,62.00738916,60.26785714,41.95402299,54.23197492,31.95812808,44.22788606,50.11160714,42.85714286,36.99059561,42.02380952,38.6770557,62.64880952,39.83134921,59.85221675,25.89285714,62.59698276,62.53694581,69.09482759,34.26724138,0.124584814,,,,,
31/07/2002,57.38636364,58.125,80.92672414,39.81481481,42.67857143,55.90517241,49.16666667,33.52272727,35.29761905,41.26811594,52.23599138,40.42145594,38.73737374,44.94252874,40.46474359,53.44827586,36.20689655,56.66666667,29.11877395,72.28125,57.19047619,59.375,23.91666667,0.122119222,,,,,
31/08/2002,48.31989247,52.11693548,75.34722222,29.56989247,52.41935484,50.16666667,51.34408602,34.75073314,38.91129032,41.30434783,47.00520833,34.07407407,37.58553275,56.77777778,40.19851117,65.32407407,33.59567901,48.84792627,29.90740741,60.49395161,57.11981567,77.05645161,21.77419355,0.121247166,,,,,
30/09/2002,48.6328125,46.09375,69.0188172,35.72048611,62.77901786,48.50806452,44.01041667,39.38210227,42.7734375,38.75679348,39.54133065,22.40143369,42.1875,60.10752688,37.81550481,57.57168459,39.979092,35.56547619,31.1827957,59.609375,56.65178571,77.1484375,22.65625,0.121175885,,,,,
31/10/2002,39.23611111,52.36742424,58.82161458,49.66329966,67.58658009,51.484375,29.54545455,27.41046832,44.20995671,45.68511199,65.11230469,15.79861111,43.84756657,55.72916667,43.10897436,34.98263889,40.94328704,57.86435786,32.98611111,57.86931818,63.16017316,66.40151515,25.53030303,0.122045467,,,,,
30/11/2002,42.24877451,61.76470588,53.06186869,41.66666667,68.1197479,56.89393939,40.44117647,35.49465241,41.17647059,44.93286445,51.70454545,42.76094276,38.63636364,40.50505051,41.7138009,44.86531987,38.10325477,48.52941176,52.27272727,53.06985294,61.61764706,70.47794118,20.91911765,0.121668817,,,,,
31/12/2002,44.25595238,57.23214286,64.52205882,52.97619048,60.81632653,60.07352941,63.0952381,35.25974026,42.21938776,41.98757764,59.00735294,42.32026144,40.64935065,46.17647059,36.68956044,40.31862745,40.48202614,50.06802721,50.16339869,69.51785714,53.44897959,56.19047619,21.07142857,0.126315644,,,,,
31/01/2003,49.65277778,56.38020833,51.54761905,56.05709877,60.31746032,39.67857143,53.24074074,33.45959596,50.34722222,45.04830918,56.58482143,44.12698413,42.38215488,55.71428571,38.83547009,59.44444444,44.98677249,50.46296296,33.33333333,49.35763889,57.04365079,60.53240741,30.9375,0.124099375,720597,731006,675733,17882,8057
28/02/2003,40.06193694,48.64864865,64.17824074,52.47747748,51.73745174,44.79166667,45.4954955,18.27395577,47.75579151,40.64336075,58.89756944,50.77160494,51.31040131,55.27777778,36.36954262,50.38580247,44.49588477,71.87902188,52.4691358,50.5152027,55.55984556,46.28378378,32.63513514,0.124528126,730456,735620,682915,16246,12257
