,Economic cycle,Revenues,Costs,BS protection,Fed liquidity
30/04/2001,36.33,23.28,38.53,40.55,60.95
31/05/2001,41.18,25.32,44.12,43.14,82.59
30/06/2001,42.96,31.65,44.56,45.82,54.20
31/07/2001,42.97,30.98,35.11,49.00,82.94
31/08/2001,41.57,28.65,35.24,44.99,73.31
30/09/2001,37.15,31.19,31.52,40.43,78.93
31/10/2001,33.11,22.38,35.23,44.61,89.80
30/11/2001,35.82,37.91,28.38,44.28,66.56
31/12/2001,43.55,39.96,29.31,53.80,78.88
31/01/2002,48.09,40.31,33.45,53.04,66.37
28/02/2002,52.32,41.54,36.58,52.04,79.71
31/03/2002,54.47,40.43,40.69,56.02,74.18
30/04/2002,56.08,38.77,46.44,52.76,69.05
31/05/2002,55.92,50.87,50.42,60.95,77.81
30/06/2002,53.84,40.62,45.38,55.38,71.92
31/07/2002,49.14,41.20,43.18,50.66,66.67
31/08/2002,47.54,42.68,43.57,51.18,68.66
30/09/2002,47.05,41.44,40.42,51.14,62.95
31/10/2002,48.62,38.20,41.98,51.46,65.37
30/11/2002,48.50,40.31,45.10,49.47,65.34
31/12/2002,51.82,43.14,43.54,47.50,87.55
31/01/2003,49.94,47.38,45.41,48.37,74.21
28/02/2003,46.33,52.21,51.12,45.82,77.41
31/03/2003,40.02,41.02,56.34,51.04,76.50
30/04/2003,43.92,51.42,52.42,49.98,80.59
31/05/2003,46.67,48.85,38.28,48.75,73.57
30/06/2003,51.07,49.25,39.18,47.25,68.99
31/07/2003,55.97,60.09,43.16,57.34,76.19
31/08/2003,61.23,62.00,47.05,60.00,75.91
30/09/2003,59.57,66.21,51.52,60.25,67.69
31/10/2003,62.95,69.89,52.46,57.09,65.08
30/11/2003,61.98,69.50,54.54,56.55,58.85
31/12/2003,66.11,70.79,56.18,62.94,56.84
31/01/2004,66.95,61.94,55.86,53.14,41.19
29/02/2004,60.20,66.84,53.68,52.25,30.15
31/03/2004,61.59,65.06,55.04,47.08,45.91
30/04/2004,60.40,73.04,55.79,55.54,44.65
31/05/2004,61.55,68.24,61.53,64.58,41.70
30/06/2004,57.59,71.44,67.55,66.46,39.11
31/07/2004,56.57,61.07,63.45,61.88,42.34
31/08/2004,54.65,61.91,56.21,59.65,44.46
30/09/2004,56.76,58.95,53.85,61.74,46.92
31/10/2004,54.40,60.82,53.81,55.89,38.60
30/11/2004,57.25,61.50,61.94,57.26,48.28
31/12/2004,59.79,63.21,62.99,58.88,39.29
31/01/2005,58.55,62.40,58.57,58.62,45.68
28/02/2005,57.56,66.05,55.80,62.44,48.44
31/03/2005,57.72,68.36,56.38,67.17,42.23
30/04/2005,55.44,64.26,63.14,66.92,39.54
31/05/2005,51.34,69.34,58.30,59.09,30.68
30/06/2005,55.66,58.74,48.30,58.31,35.87
31/07/2005,61.39,61.15,46.86,60.46,33.75
31/08/2005,57.79,62.85,56.75,61.31,42.88
30/09/2005,49.16,64.13,63.50,59.60,42.71
31/10/2005,45.99,67.82,65.06,60.78,28.52
30/11/2005,50.38,68.84,66.31,62.77,34.81
31/12/2005,52.64,66.11,59.74,60.55,47.18
31/01/2006,51.90,59.76,56.93,59.62,32.95
28/02/2006,51.91,64.95,56.01,59.44,37.86
31/03/2006,53.25,63.13,51.25,60.24,31.57
30/04/2006,53.44,60.05,56.26,61.43,44.97
31/05/2006,48.28,63.97,55.78,61.84,49.46
30/06/2006,46.98,50.85,61.09,62.77,29.46
31/07/2006,44.44,51.13,57.38,62.69,35.75
31/08/2006,42.27,48.04,54.97,58.06,39.64
30/09/2006,46.48,45.52,47.70,53.61,32.22
31/10/2006,48.37,45.37,37.45,52.24,32.72
30/11/2006,48.06,47.16,34.84,52.30,32.15
31/12/2006,47.68,44.34,38.46,54.22,42.17
31/01/2007,54.08,56.32,42.34,52.81,48.05
28/02/2007,51.52,50.26,42.32,52.88,42.25
31/03/2007,49.88,49.90,47.18,51.98,42.86
30/04/2007,47.50,55.56,55.57,52.77,36.99
31/05/2007,51.31,40.09,54.81,53.56,34.97
30/06/2007,49.37,45.32,54.67,56.81,36.57
31/07/2007,45.28,43.26,56.37,56.46,32.83
31/08/2007,43.00,44.02,53.33,53.92,33.87
30/09/2007,43.00,48.70,49.66,48.02,51.88
31/10/2007,40.45,45.83,50.25,44.67,43.94
30/11/2007,39.93,42.86,57.43,42.69,37.31
31/12/2007,38.60,56.74,64.36,44.81,34.88
31/01/2008,39.55,48.34,61.82,36.85,53.98
29/02/2008,36.20,44.11,62.06,39.12,40.02
31/03/2008,33.94,40.79,57.93,37.95,31.03
30/04/2008,32.35,40.25,65.09,41.77,40.86
31/05/2008,32.54,45.22,65.93,45.81,53.27
30/06/2008,29.89,52.65,70.79,48.21,39.15
31/07/2008,33.43,54.94,69.06,52.20,54.10
31/08/2008,32.60,56.09,70.54,53.82,42.85
30/09/2008,33.65,40.49,61.98,47.26,58.92
31/10/2008,27.41,34.57,56.72,46.23,63.25
30/11/2008,25.19,29.56,46.63,37.29,64.97
31/12/2008,23.25,32.02,37.70,31.45,65.38
31/01/2009,25.74,29.05,35.67,32.40,64.77
28/02/2009,25.71,25.10,33.39,31.80,64.18
31/03/2009,26.80,25.04,36.49,30.85,64.67
30/04/2009,33.98,23.89,36.84,31.21,65.36
31/05/2009,38.30,19.13,38.30,35.83,60.71
30/06/2009,43.68,20.80,46.06,40.91,42.96
